,caseid,country,year,province,age,education,if_union,if_urban,wealth_index,wealth_index_code,house_ownership,land_owenership,if_own_house,if_own_land,if_employment,if_employment_current,employment_pay_method,if_earn_more,partner_edu,num_household,num_child,sex_head_household,sexual_activity,ideal_num_child,partner_ideal_child,money_decide_person,if_emo_vio,if_phy_vio,if_phy_vio_severe,if_sex_vio,if_vio,num_vio
0,       1   1  5,Maldives,2016,malé,35,15,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,about the same,14.0,19,1,female,active in last 4 weeks,2,both want same,respondent alone,0,0,0,0,0,0
1,       1   1  6,Maldives,2016,malé,26,15,1,urban,richer,3,does not own,,0,1,currently working,1,cash and in-kind,about the same,13.0,19,1,female,active in last 4 weeks,3,both want same,respondent alone,,,,,,
5,       1   1 15,Maldives,2016,malé,26,13,1,urban,richer,3,both alone and jointly,,1,1,currently working,1,cash only,less than him,10.0,19,1,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,,,,,,
7,       1   2  2,Maldives,2016,malé,36,7,1,urban,middle,2,both alone and jointly,,1,1,no,0,,,7.0,4,2,male,active in last 4 weeks,4,both want same,,0,1,0,0,1,1
8,       1   3  2,Maldives,2016,malé,35,15,1,urban,richest,4,jointly only,,1,1,currently working,1,cash only,about the same,15.0,3,1,male,active in last 4 weeks,non-numeric response,don't know,respondent and husband/partner,0,0,0,0,0,0
10,       1   5  2,Maldives,2016,malé,42,8,1,urban,richer,3,does not own,,0,1,no,0,,,8.0,5,3,male,active in last 4 weeks,2,husband wants more,,0,0,0,0,0,0
11,       1   7  2,Maldives,2016,malé,30,7,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,more than him,7.0,3,1,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
13,       1  10  2,Maldives,2016,malé,22,15,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,14.0,2,0,male,active in last 4 weeks,3,husband wants more,respondent and husband/partner,0,0,0,0,0,0
14,       1  11  1,Maldives,2016,malé,49,7,1,urban,richest,4,jointly only,,1,1,no,0,,,10.0,5,2,female,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
15,       1  12  3,Maldives,2016,malé,23,10,1,urban,richest,4,does not own,,0,1,no,0,,,15.0,3,0,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
16,       1  13  2,Maldives,2016,malé,37,15,1,urban,richest,4,does not own,,0,1,no,0,,,0.0,4,0,male,active in last 4 weeks,2,husband wants fewer,,0,0,0,0,0,0
17,       1  14  2,Maldives,2016,malé,39,15,1,urban,richest,4,does not own,,0,1,no,0,,,16.0,5,3,male,active in last 4 weeks,2,husband wants fewer,,0,0,0,0,0,0
19,       1  16  2,Maldives,2016,malé,35,17,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,more than him,7.0,5,3,male,active in last 4 weeks,4,both want same,respondent and husband/partner,0,0,0,0,0,0
20,       1  17  2,Maldives,2016,malé,23,12,1,urban,richest,4,does not own,,0,1,no,0,,,12.0,4,1,male,active in last 4 weeks,4,both want same,,0,0,0,0,0,0
21,       1  17  4,Maldives,2016,malé,26,14,1,urban,richest,4,does not own,,0,1,no,0,,,10.0,4,0,male,not active in last 4 weeks - not postpartum abstinence,4,both want same,,,,,,,
26,       1  21  2,Maldives,2016,malé,27,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,4,3,male,active in last 4 weeks,3,,,0,0,0,0,0,0
28,       1  24  2,Maldives,2016,malé,29,16,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,less than him,16.0,3,1,male,active in last 4 weeks,3,husband wants fewer,husband/partner alone,1,0,0,0,1,1
29,       1  25  2,Maldives,2016,malé,33,14,1,urban,richest,4,does not own,,0,1,currently working,1,cash only,more than him,12.0,3,1,male,active in last 4 weeks,2,husband wants fewer,respondent and husband/partner,0,0,0,0,0,0
30,       2   1  2,Maldives,2016,malé,30,12,1,urban,middle,2,alone only,,1,1,no,0,,,7.0,5,2,male,active in last 4 weeks,2,both want same,,,,,,,
32,       2   4  1,Maldives,2016,malé,39,8,1,urban,richer,3,does not own,,0,1,currently working,1,cash only,less than him,10.0,3,1,female,active in last 4 weeks,2,both want same,respondent alone,,,,,,
34,       2   6  2,Maldives,2016,malé,27,10,1,urban,richer,3,does not own,,0,1,no,0,,,10.0,5,3,male,active in last 4 weeks,non-numeric response,both want same,,,,,,,
