,caseid,country,year,province,age,education,if_union,if_urban,wealth_index,wealth_index_code,house_ownership,land_owenership,if_own_house,if_own_land,if_employment,if_employment_current,employment_pay_method,if_earn_more,partner_edu,num_household,num_child,sex_head_household,sexual_activity,ideal_num_child,partner_ideal_child,money_decide_person,if_emo_vio,if_phy_vio,if_phy_vio_severe,if_sex_vio,if_vio,num_vio
0,       1   5  2,Nepal,2016,province 1,47,0,1,urban,richer,3,does not own,alone only,0,1,currently working,1,not paid,,9.0,2,3,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,,,,,,
1,       1   9  2,Nepal,2016,province 1,47,2,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,4.0,3,5,male,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
2,       1   9  3,Nepal,2016,province 1,22,11,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,11.0,3,0,male,active in last 4 weeks,1,both want same,,,,,,,
3,       1  17  4,Nepal,2016,province 1,28,10,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,11.0,7,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
5,       1  21  2,Nepal,2016,province 1,42,0,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,0.0,4,4,male,active in last 4 weeks,2,husband wants more,,,,,,,
7,       1  29  2,Nepal,2016,province 1,33,10,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,11.0,4,2,male,active in last 4 weeks,2,both want same,,,,,,,
8,       1  33  2,Nepal,2016,province 1,38,4,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,not paid,,11.0,4,2,male,active in last 4 weeks,2,both want same,,0,0,0,0,0,0
9,       1  37  2,Nepal,2016,province 1,34,9,1,urban,middle,2,does not own,alone only,0,1,currently working,1,cash only,less than him,9.0,4,2,male,active in last 4 weeks,1,both want same,respondent and husband/partner,,,,,,
10,       1  41  1,Nepal,2016,province 1,38,0,1,urban,poorest,0,does not own,does not own,0,0,currently working,1,not paid,,10.0,2,2,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,,0,0,0,0,0,0
11,       1  49  2,Nepal,2016,province 1,29,11,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,husband/partner doesn't bring in money,8.0,3,1,male,active in last 4 weeks,2,both want same,respondent and husband/partner,0,0,0,0,0,0
12,       1  53  6,Nepal,2016,province 1,21,11,1,urban,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,11.0,7,0,male,active in last 4 weeks,2,both want same,respondent and husband/partner,,,,,,
13,       1  57  2,Nepal,2016,province 1,23,5,1,urban,poorer,1,does not own,does not own,0,0,currently working,1,not paid,,6.0,6,3,male,active in last 4 weeks,3,both want same,,0,0,0,0,0,0
14,       1  61  2,Nepal,2016,province 1,25,6,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,9.0,3,2,male,active in last 4 weeks,2,both want same,,,,,,,
15,       1  65  2,Nepal,2016,province 1,37,0,1,urban,poorest,0,does not own,does not own,0,0,in the past year,0,not paid,,9.0,8,6,male,active in last 4 weeks,2,both want same,,0,1,0,0,1,1
16,       1  69  4,Nepal,2016,province 1,29,11,1,urban,middle,2,does not own,does not own,0,0,currently working,1,not paid,,9.0,5,1,male,active in last 4 weeks,2,both want same,,,,,,,
