,caseid,country,year,province,age,education,if_union,if_urban,wealth_index,wealth_index_code,house_ownership,land_owenership,if_own_house,if_own_land,if_employment,if_employment_current,employment_pay_method,if_earn_more,partner_edu,num_household,num_child,sex_head_household,sexual_activity,ideal_num_child,partner_ideal_child,money_decide_person,if_emo_vio,if_phy_vio,if_phy_vio_severe,if_sex_vio,if_vio,num_vio
0,         1 1  1,Cambodia,2014,banteay mean chey,34,4,1,rural,middle,2,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,8.0,4,3,female,not active in last 4 weeks - not postpartum abstinence,2,both want same,respondent alone,0,0,0,0,0,0
1,         1 2  2,Cambodia,2014,banteay mean chey,37,0,1,rural,poorer,1,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,3.0,3,1,male,not active in last 4 weeks - postpartum abstinence,2,both want same,respondent and husband/partner,,,,,,
2,         1 3  2,Cambodia,2014,banteay mean chey,45,8,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,8.0,4,4,male,not active in last 4 weeks - not postpartum abstinence,5,husband wants more,respondent and husband/partner,,,,,,
5,         1 5  3,Cambodia,2014,banteay mean chey,22,8,1,rural,richer,3,does not own,does not own,0,0,no,0,,,3.0,5,0,male,active in last 4 weeks,2,both want same,,,,,,,
6,         1 6  3,Cambodia,2014,banteay mean chey,21,9,1,rural,richer,3,does not own,does not own,0,0,no,0,,,10.0,6,1,male,not active in last 4 weeks - postpartum abstinence,2,husband wants more,,,,,,,
8,         1 8  2,Cambodia,2014,banteay mean chey,33,6,1,rural,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,5.0,4,2,male,active in last 4 weeks,3,husband wants fewer,respondent and husband/partner,,,,,,
9,         1 9  2,Cambodia,2014,banteay mean chey,21,6,1,rural,middle,2,does not own,does not own,0,0,currently working,1,cash only,less than him,6.0,3,1,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
10,         110  3,Cambodia,2014,banteay mean chey,33,2,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,12.0,6,2,male,not active in last 4 weeks - not postpartum abstinence,5,both want same,respondent alone,0,0,0,0,0,0
11,         111  2,Cambodia,2014,banteay mean chey,49,2,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,3.0,4,4,male,active in last 4 weeks,5,both want same,respondent and husband/partner,,,,,,
12,         115  2,Cambodia,2014,banteay mean chey,33,4,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,7.0,5,3,male,active in last 4 weeks,3,husband wants fewer,respondent alone,,,,,,
13,         119  2,Cambodia,2014,banteay mean chey,33,3,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,3.0,4,2,male,active in last 4 weeks,4,both want same,respondent alone,1,0,0,0,1,1
16,         123  2,Cambodia,2014,banteay mean chey,33,4,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,4.0,8,3,male,active in last 4 weeks,4,both want same,respondent alone,,,,,,
17,         125  2,Cambodia,2014,banteay mean chey,49,1,1,rural,richer,3,both alone and jointly,both alone and jointly,1,1,currently working,1,cash and in-kind,less than him,9.0,5,5,male,active in last 4 weeks,4,both want same,respondent and husband/partner,1,1,1,1,1,3
18,         126  2,Cambodia,2014,banteay mean chey,46,2,1,rural,middle,2,both alone and jointly,both alone and jointly,1,1,currently working,1,cash only,about the same,6.0,5,6,male,active in last 4 weeks,5,both want same,respondent and husband/partner,,,,,,
19,         127  2,Cambodia,2014,banteay mean chey,42,4,1,rural,richer,3,both alone and jointly,both alone and jointly,1,1,currently working,1,cash only,about the same,3.0,6,5,male,active in last 4 weeks,5,both want same,respondent and husband/partner,,,,,,
20,         128  3,Cambodia,2014,banteay mean chey,15,9,1,rural,middle,2,does not own,does not own,0,0,in the past year,0,cash only,less than him,6.0,10,0,female,active in last 4 weeks,2,husband wants more,respondent alone,,,,,,
21,         2 1  2,Cambodia,2014,banteay mean chey,40,3,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,1.0,6,4,male,active in last 4 weeks,3,both want same,respondent and husband/partner,0,0,0,0,0,0
23,         2 2  2,Cambodia,2014,banteay mean chey,47,3,1,rural,middle,2,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,3.0,6,8,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
25,         2 3  3,Cambodia,2014,banteay mean chey,18,9,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,8.0,5,0,male,active in last 4 weeks,2,don't know,respondent and husband/partner,,,,,,
27,         2 7  2,Cambodia,2014,banteay mean chey,32,4,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,5.0,3,1,male,active in last 4 weeks,3,both want same,respondent and husband/partner,0,0,0,0,0,0
28,         2 8  2,Cambodia,2014,banteay mean chey,22,8,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,less than him,0.0,3,1,male,active in last 4 weeks,3,both want same,respondent alone,,,,,,
30,         210  2,Cambodia,2014,banteay mean chey,40,3,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,6.0,9,8,male,not active in last 4 weeks - not postpartum abstinence,3,,respondent and husband/partner,,,,,,
32,         211  3,Cambodia,2014,banteay mean chey,29,5,1,rural,richer,3,does not own,does not own,0,0,currently working,1,cash and in-kind,less than him,6.0,4,1,male,not active in last 4 weeks - not postpartum abstinence,4,both want same,respondent and husband/partner,,,,,,
33,         213  2,Cambodia,2014,banteay mean chey,37,4,1,rural,richer,3,jointly only,jointly only,1,1,in the past year,0,cash only,about the same,8.0,3,1,male,active in last 4 weeks,2,husband wants more,respondent and husband/partner,0,0,0,0,0,0
34,         215  3,Cambodia,2014,banteay mean chey,24,8,1,rural,richer,3,does not own,does not own,0,0,no,0,,,11.0,6,2,male,active in last 4 weeks,3,husband wants more,,,,,,,
35,         216  2,Cambodia,2014,banteay mean chey,34,8,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,9.0,5,2,male,active in last 4 weeks,3,both want same,respondent alone,0,0,0,0,0,0
36,         217  2,Cambodia,2014,banteay mean chey,48,3,1,rural,middle,2,jointly only,jointly only,1,1,currently working,1,cash only,about the same,2.0,2,0,male,active in last 4 weeks,3,don't know,respondent and husband/partner,,,,,,
37,         218  4,Cambodia,2014,banteay mean chey,28,11,1,rural,richer,3,does not own,does not own,0,0,in the past year,0,cash only,less than him,8.0,7,1,male,active in last 4 weeks,3,husband wants more,respondent and husband/partner,,,,,,
38,         219  2,Cambodia,2014,banteay mean chey,33,0,1,rural,middle,2,jointly only,does not own,1,0,currently working,1,cash and in-kind,about the same,4.0,5,4,male,not active in last 4 weeks - not postpartum abstinence,3,husband wants more,respondent and husband/partner,0,1,0,0,1,1
39,         220  2,Cambodia,2014,banteay mean chey,20,7,1,rural,middle,2,jointly only,jointly only,1,1,in the past year,0,cash only,less than him,8.0,3,1,male,not active in last 4 weeks - postpartum abstinence,3,both want same,respondent and husband/partner,,,,,,
40,         221  3,Cambodia,2014,banteay mean chey,28,6,1,rural,richer,3,does not own,does not own,0,0,currently working,1,cash only,about the same,0.0,8,2,male,active in last 4 weeks,3,both want same,respondent and husband/partner,,,,,,
42,         222  2,Cambodia,2014,banteay mean chey,22,8,1,rural,richer,3,does not own,does not own,0,0,currently working,1,cash only,less than him,11.0,5,2,male,active in last 4 weeks,3,both want same,respondent and husband/partner,0,0,0,0,0,0
43,         223  2,Cambodia,2014,banteay mean chey,34,5,1,rural,richer,3,jointly only,jointly only,1,1,currently working,1,cash only,less than him,5.0,4,2,male,not active in last 4 weeks - not postpartum abstinence,3,both want same,respondent and husband/partner,,,,,,
